Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:43:53

Start Time	27.04.2026 15:29:05
End Time	27.04.2026 15:43:26


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:29:05

Mass [amu]	Ion Current [A]
28,81	-1,408066e-013
28,84	-1,418041e-013
28,88	-1,424769e-013
28,91	-1,402271e-013
28,94	-1,364230e-013
28,97	-1,347789e-013
29,00	-1,368856e-013
29,03	-1,410513e-013
29,06	-1,445685e-013
29,09	-1,465227e-013
29,13	-1,482975e-013
29,16	-1,509000e-013
29,19	-1,530323e-013
29,22	-1,532048e-013
29,25	-1,519991e-013
29,28	-1,504825e-013
29,31	-1,485928e-013
29,34	-1,468401e-013
29,38	-1,467179e-013
29,41	-1,481389e-013
29,44	-1,491105e-013
29,47	-1,482974e-013
29,50	-1,465368e-013
29,53	-1,454969e-013
29,56	-1,453247e-013
29,59	-1,450866e-013
29,63	-1,448284e-013
29,66	-1,446331e-013
29,69	-1,428243e-013
29,72	-1,379866e-013
29,75	-1,318583e-013
29,78	-1,282500e-013
29,81	-1,291988e-013
29,84	-1,325426e-013
29,88	-1,339330e-013
29,91	-1,318973e-013
29,94	-1,295169e-013
29,97	-1,301984e-013
30,00	-1,341581e-013
30,03	-1,391620e-013
30,06	-1,419360e-013
30,09	-1,408294e-013
30,13	-1,385116e-013
30,16	-1,386110e-013
30,19	-1,413766e-013
30,22	-1,453987e-013
30,25	-1,497651e-013
30,28	-1,527254e-013
30,31	-1,518429e-013
30,34	-1,472385e-013
30,38	-1,423938e-013
30,41	-1,409840e-013
30,44	-1,439830e-013
30,47	-1,489921e-013
30,50	-1,519200e-013
30,53	-1,507505e-013
30,56	-1,478757e-013
30,59	-1,470376e-013
30,63	-1,487487e-013
30,66	-1,507611e-013
30,69	-1,514701e-013
30,72	-1,516098e-013
30,75	-1,529609e-013
30,78	-1,554158e-013
30,81	-1,568500e-013
30,84	-1,561675e-013
30,88	-1,545609e-013
30,91	-1,531281e-013
30,94	-1,510603e-013
30,97	-1,476543e-013
31,00	-1,444813e-013
31,03	-1,438226e-013
31,06	-1,457233e-013
31,09	-1,483298e-013
31,13	-1,507353e-013
31,16	-1,532230e-013
31,19	-1,551951e-013
31,22	-1,552721e-013
31,25	-1,532503e-013
31,28	-1,503439e-013
31,31	-1,476348e-013
31,34	-1,455248e-013
31,38	-1,443168e-013
31,41	-1,441875e-013
31,44	-1,453489e-013
31,47	-1,478054e-013
31,50	-1,495748e-013
31,53	-1,473409e-013
31,56	-1,402419e-013
